StaID,lat,long,DA_SQKM,MAXDI_EROM,Dam_Index,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_MAXP6190,TOT_MAXWD6190,TOT_MINWD6190,TOT_RH,TOT_AET,TOT_CWD,TOT_BFI,TOT_CONTACT,TOT_IEOF,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_EWT,TOT_RF7100,TOT_MIRAD_2012,TOT_FRESHWATER_WD,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CONNECTOR,TOT_STRM_DENS,TOT_TOTAL_ROAD_DENS,TOT_HGA,TOT_HGB,TOT_HGC,TOT_HGD,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_OM,TOT_ROCKDEP,TOT_BDAVE,TOT_WTDEP,TOT_SRL25AG,TOT_NLCD19_31,TOT_NLCD19_41,TOT_NLCD19_43,TOT_NLCD19_71,TOT_NLCD19_81,TOT_NLCD19_FOREST,TOT_NLCD19_WETLAND,KGE,kappa,kge_kappa_categories
6038500,44.866593,-111.338288,2411.9559,234.13,0.33,2329.75,3205.49,0.018938,121.51,16.38,7.64,57.21,398.72,2.09,82.06,58.62,0.41,349.48,2.23,11.24,-32.28,29.08,0.0,9.84,92.92,7.06,0.02,0.48,0.36,13.39,50.0,10.07,26.81,37.57,16.35,46.08,0.31,0.17,55.4,29.51,0.71,49.58,1.46,5.77,0.0,0.06,0.08,0.01,6.34,0.0,45.05,3.69,0.08,0.01,Below median
6054500,46.14604,-111.42052,38074.6791,118.25,0.07,2047.49,3434.24,0.027043,80.78,11.8,5.55,60.63,266.23,1.78,75.25,83.96,1.77,149.8,0.66,10.93,-59.14,17.41,4.25,14.95,90.69,2.47,0.16,0.81,0.9,6.23,62.09,12.9,19.72,42.29,17.96,39.76,0.32,0.21,57.37,34.95,0.73,52.95,1.48,5.71,2.81,0.29,0.08,0.03,22.98,2.6,34.31,1.84,0.46,0.25,Above median
6066500,46.994665,-112.011111,43985.1645,336.61,0.2,1979.7,3434.24,0.027829,78.34,11.63,5.44,60.32,268.82,1.72,74.17,86.77,1.57,144.19,0.58,11.02,-59.09,16.97,4.23,14.91,90.03,2.94,0.17,0.83,0.95,5.75,62.44,12.16,20.4,42.5,18.11,39.39,0.32,0.21,56.95,34.78,0.73,52.48,1.47,5.73,2.97,0.27,0.07,0.04,24.04,2.53,34.41,1.67,0.3,0.03,Below median
6191500,45.11188,-110.794381,6783.59272743,0.01,0.0,2542.1,3700.99,0.027241,95.32,14.18,7.45,56.76,383.82,1.96,74.27,27.09,0.85,372.25,0.92,10.7,-57.77,25.65,0.0,7.2,92.24,7.68,0.08,0.5,0.11,15.15,41.04,12.65,35.53,38.21,14.94,46.85,0.31,0.17,45.1,24.54,0.69,48.11,1.48,5.62,0.0,0.91,0.07,0.02,6.34,0.01,35.59,3.8,0.2,0.06,Below median
6192500,45.597158,-110.566039,9209.0241,0.08,0.0,2441.93,3700.99,0.031291,95.53,13.77,7.3,57.43,380.76,1.86,74.11,24.93,1.02,347.64,0.76,10.47,-61.51,24.7,0.93,8.91,91.54,6.82,0.13,0.54,0.24,13.24,42.1,15.06,33.51,39.34,15.94,44.73,0.32,0.18,47.57,27.07,0.75,47.63,1.47,5.68,4.51,0.78,0.11,0.03,8.47,0.32,38.39,3.02,0.38,0.08,Below median
6207500,45.010225,-109.065422,2985.0219,5.98,0.0,2273.48,3879.51,0.038794,86.59,11.13,5.51,52.45,260.49,1.74,70.23,49.04,1.82,228.89,0.63,10.3,-57.39,25.82,0.65,8.57,90.65,3.94,0.22,0.76,0.42,9.75,40.08,18.39,36.01,39.43,18.56,42.01,0.32,0.2,57.57,34.74,0.79,43.03,1.4,5.74,7.35,2.22,0.2,0.06,5.72,0.25,28.85,1.0699999999999998,0.6,0.25,Above median
6214500,45.799953,-108.467356,29548.8099,5.92,0.01,1994.87,3889.91,0.02645,90.75,11.82,5.86,55.6,260.57,1.63,70.42,132.29,3.1,224.62,0.62,10.69,-51.8,22.89,2.81,13.95,87.24,4.49,0.11,0.7,0.63,7.21,36.82,21.64,36.71,42.55,20.97,36.48,0.32,0.23,61.62,41.12,0.84,42.87,1.42,5.79,30.29,1.04,0.16,0.03,19.7,1.68,25.72,2.19,0.47,0.35,Above median
6224000,43.176901,-109.202911,484.8579,0.0,0.0,3137.09,4171.71,0.064832,86.79,8.88,5.37,55.71,424.92,1.62,63.84,14.43,0.09,393.39,0.0,9.91,-90.93,24.91,0.0,6.37,79.16,20.84,0.0,0.43,0.01,37.18,26.52,0.51,57.87,36.76,19.88,43.35,0.37,0.15,58.27,32.99,0.35,58.92,1.44,5.95,0.0,3.9,0.73,0.31,36.12,0.02,25.48,0.54,0.29,0.08,Below median
6228000,43.010515,-108.37677,5992.1928,139.01,0.07,2553.3,4207.36,0.031247,69.26,7.96,3.9,53.75,228.02,1.5,64.27,70.61,1.92,185.88,0.0,10.7,-55.07,18.8,1.94,6.36,87.51,6.47,0.13,0.64,0.57,11.43,40.28,12.5,42.36,39.88,20.82,39.29,0.35,0.24,66.48,40.8,0.6,45.73,1.36,5.85,4.91,3.11,0.33,0.09,13.58,1.37,23.59,2.56,0.52,0.23,Below median
6235500,42.997459,-108.375381,4934.0259,63.65,0.2,2170.83,4017.56,0.022367,64.87,7.58,3.75,53.54,183.66,1.5,64.01,145.76,0.34,180.66,0.0,12.4,-40.4,16.6,3.67,6.37,83.2,3.29,0.11,0.6,0.86,10.91,45.15,12.04,38.14,40.38,21.77,37.84,0.36,0.27,76.96,48.1,0.48,47.82,1.36,5.84,4.8,0.57,0.81,0.09,9.48,3.22,16.27,2.29,0.6,0.51,Above median
