nhgf_id,DA_SQKM,MAXDI_EROM,Dam_Index,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_MAXP6190,TOT_MAXWD6190,TOT_MINWD6190,TOT_RH,TOT_AET,TOT_CWD,TOT_BFI,TOT_CONTACT,TOT_IEOF,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_EWT,TOT_RF7100,TOT_MIRAD_2012,TOT_FRESHWATER_WD,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CONNECTOR,TOT_STRM_DENS,TOT_TOTAL_ROAD_DENS,TOT_HGA,TOT_HGB,TOT_HGC,TOT_HGD,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_OM,TOT_ROCKDEP,TOT_BDAVE,TOT_WTDEP,TOT_SRL25AG,TOT_NLCD19_31,TOT_NLCD19_41,TOT_NLCD19_43,TOT_NLCD19_71,TOT_NLCD19_81,TOT_NLCD19_FOREST,TOT_NLCD19_WETLAND
42706,51.68,0,0,3077.98,3750.72,0.02732,80.6,12.86,7.72,55.49,495.16,1.73,65.39,7.27,0.54,299.89,0.21,9.77,-64.5,34.3,0,8.4,100,0,0,0.41,1.39,11.69,51.18,22.97,15,28.85,16.46,54.69,0.27,0.15,62.83,28.63,0.36,52.77,1.45,5.72,0,0.02,0.13,0,2.2,0,88.7,1.53
42707,33.89,8.16,0.01,2882.29,3245.75,0.010776,140.77,15.42,8,56.96,473.85,1.76,57.88,34.73,0.99,475.28,2.6,10.28,-45.63,50.07,0,9.79,95.38,4.62,0,0.55,1.36,8.72,53.06,29.6,13.15,34.5,19.05,46.46,0.29,0.18,66.31,37.39,0.36,55.27,1.42,5.86,0,0,7.32,0.01,0.81,0,68.59,10.16
42708,17.33,0,0,3091.67,3741.85,0.058605,81.05,12.16,7.74,55.57,442.4,1.73,63.78,6.42,0,199.75,1.44,9.34,-69.3,32.04,0,9.43,100,0,0,0.78,0.03,16.88,47.73,23.89,14.48,29.38,16.6,54.02,0.31,0.15,60.7,28.06,0.5,52.34,1.43,5.61,0,0,1,0.01,5.59,0,75.78,1.31
42709,35.63,48.58,0.06,3084.37,3602.3,0.046449,89.9,12.42,8.03,56.57,440.28,1.73,64.05,4.95,0,163.81,1.41,9.7,-76.77,37.51,0,8.63,95.3,4.7,0,0.63,0.77,25.21,35.5,23.51,20.03,31.41,13.21,55.38,0.35,0.12,55.49,24.78,0.62,50.74,1.45,5.39,0,0.07,1.8,0,1.48,0,75.96,1.62
42710,375.08,19.83,0.01,2645.57,3332.38,0.018577,75.74,11.51,7.24,56.48,341.93,1.74,59.7,154.38,2.21,225.48,2.59,10.84,-52.91,28.7,2.32,8.95,98.04,1.96,0,0.75,0.9,2.51,53.48,32.12,12.25,37.12,26.25,36.63,0.3,0.23,75.39,49.62,0.51,54.46,1.37,5.85,7.28,0,11.68,0.36,8.29,1.51,33.5,7.64
42711,146.85,23.84,0.02,2913.63,3602.3,0.033417,74.99,11.34,7.36,56.37,375.75,1.73,64.06,25.12,0.42,144.36,1.7,9.85,-73.22,32.38,4.15,8.47,94.84,0.93,0,0.76,0.61,16.07,47.19,19.02,20.17,32.69,15.84,51.47,0.31,0.16,62.19,31.1,0.46,51.27,1.45,5.63,0,0.02,3.21,0.15,0.84,3.41,71.56,2.17
42712,700.28,375.85,0.28,2621.95,3332.38,0.019005,68.57,10.81,6.93,56.47,329.77,1.74,61.68,145.65,1.86,184.16,2.59,11.37,-53.46,26.35,2.81,8.69,97.14,2.03,0,0.82,0.9,3.54,52.81,27.58,16.57,38.08,25.64,36.28,0.3,0.23,76.11,50.45,0.49,53.53,1.37,5.8,9.88,0.01,9.17,0.44,7.71,2.1,31.11,5.75
42713,2053.36,1024.43,0.5,2975.35,4116.05,0.028903,76.17,13.07,7.48,56.34,427.74,1.73,64.96,49.02,0.88,243.66,0.64,10.34,-70.89,33.55,1.12,8.41,85.42,4.57,0.06,0.58,1.04,12.83,46.37,26.42,16.16,30.2,17.85,51.95,0.3,0.16,63.6,31.3,0.45,53.28,1.43,5.6,4.5,1.7,1.13,0.03,4.98,0.82,61.24,4.94
42714,227.05,16.87,0.02,2682.05,3245.75,0.018465,86.62,12.28,7.49,56.25,387.86,1.74,58.75,160.26,2.02,280.32,2.47,10.51,-54.52,32.53,2.27,9.27,97.33,2.67,0,0.77,0.9,3.44,56.36,33.72,7.74,34.88,24.1,41.01,0.29,0.21,70.65,43.3,0.49,55.45,1.39,5.94,1.32,0,11.09,0.27,13.16,1.21,37.57,9.5
42715,120.7,25.18,0.02,2984.97,3602.3,0.035814,81.63,11.77,7.63,56.5,406.56,1.73,63.82,12.38,0.19,152.88,1.63,9.56,-77.83,35.23,0.15,8.5,98.73,1.27,0,0.68,0.53,18.45,43.43,21.16,19.59,31.32,14.32,54.36,0.31,0.14,59.83,27.68,0.45,51.39,1.46,5.58,0,0.02,3.12,0.17,0.94,0.11,79.87,1.8
